DATE,SEASON,AMOUNT,VALUE,CHANGE,VALUE CHANGE,REASON / CAUSE
5/1/2021,C2 S.7,5925,$47.40,0,$0.00,First Recorded Date
5/2/2021,C2 S.7,6105,$48.84,180,$1.44,STW 3 Daily Missions
5/3/2021,C2 S.7,6255,$50.04,150,$1.20,STW Login Reward (150)
5/4/2021,C2 S.7,6290,$50.32,35,$0.28,STW 1 Mission
5/5/2021,C2 S.7,6375,$51.00,85,$0.68,STW Daily / Mission
5/6/2021,C2 S.7,6590,$52.72,215,$1.72,STW 3 Daily / Mission
5/7/2021,C2 S.7,6615,$52.92,25,$0.20,STW 1 Mission
5/8/2021,C2 S.7,6680,$53.44,65,$0.52,STW 2 Missions
5/9/2021,C2 S.7,6780,$54.24,100,$0.80,STW 2 Daily Missions
5/10/2021,C2 S.7,6930,$55.44,150,$1.20,STW Login Reward (150)
5/11/2021,C2 S.7,7030,$56.24,100,$0.80,STW 2 Daily Missions
5/12/2021,C2 S.7,7030,$56.24,0,$0.00,
5/13/2021,C2 S.7,7130,$57.04,100,$0.80,STW 2 Daily Missions
5/14/2021,C2 S.7,7140,$57.12,10,$0.08,Item Shop -200 Staff Stand | STW 2 Daily Missions | STW 3 Missions
5/15/2021,C2 S.7,7140,$57.12,0,$0.00,
5/16/2021,C2 S.7,7140,$57.12,0,$0.00,
5/17/2021,C2 S.7,7180,$57.44,40,$0.32,Item Shop -200 Turn Up | STW Daily Mission | STW Login Reward (150) | STW Mission
5/18/2021,C2 S.7,7280,$58.24,100,$0.80,STW 2 Daily Missions
5/19/2021,C2 S.7,7280,$58.24,0,$0.00,
5/20/2021,C2 S.7,7355,$58.84,75,$0.60,STW 1 Daily Mission | STW 1 Mission
5/21/2021,C2 S.7,7455,$59.64,100,$0.80,STW 2 Daily Missions
5/22/2021,C2 S.7,7455,$59.64,0,$0.00,
5/23/2021,C2 S.7,7255,$58.04,-200,-$1.60,Item Shop -200 Tea Time
